"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1309,"Animal.6178",10,"Kenan Tepe",6,"MBA",10,"PH2",0.119,0,0.55,0.45
1310,"Animal.6179",10,"Kenan Tepe",6,"MBA",10,"PH2",0.096,0,0.62,0.38
1311,"Animal.618",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.116,0.41,0.25,0.35
1312,"Animal.6180",13,"Muslumantepe",6,"MBA",5,"Tib",0.114,0,0.65,0.35
1313,"Animal.6182",13,"Muslumantepe",6,"MBA",10,"PH2",0.154,0,0.59,0.41
1314,"Animal.6185",3,"Domuztepe",2,"Halaf",7,"Cal",0.083,0,0.36,0.64
1315,"Animal.6186",3,"Domuztepe",2,"Halaf",7,"Cal",-0.036,0,0.74,0.26
1316,"Animal.6188",3,"Domuztepe",2,"Halaf",7,"Cal",-0.082,0,0.83,0.17
1317,"Animal.6189",3,"Domuztepe",2,"Halaf",7,"Cal",0.105,0,0.31,0.69
1318,"Animal.619",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.066,0.53,0.3,0.17
1319,"Animal.6190",3,"Domuztepe",2,"Halaf",7,"Cal",-0.088,0,0.84,0.16
1320,"Animal.6191",3,"Domuztepe",2,"Halaf",5,"Tib",0.018,0,0.64,0.36
1321,"Animal.6192",3,"Domuztepe",2,"Halaf",5,"Tib",0.103,0,0.34,0.66
1322,"Animal.6193",3,"Domuztepe",2,"Halaf",5,"Tib",0.039,0,0.57,0.43
1323,"Animal.6194",3,"Domuztepe",2,"Halaf",5,"Tib",0.069,0,0.45,0.55
1324,"Animal.6195",3,"Domuztepe",2,"Halaf",5,"Tib",0.003,0,0.69,0.31
1325,"Animal.6196",3,"Domuztepe",2,"Halaf",9,"PH1",0.057,0,0.58,0.42
1326,"Animal.6197",3,"Domuztepe",2,"Halaf",9,"PH1",0.062,0,0.56,0.44
