"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1114,"Animal.5233",18,"Tell Beydar",5,"EBA",10,"PH2",0.01,0,0.76,0.24
1115,"Animal.5234",18,"Tell Beydar",5,"EBA",10,"PH2",0.011,0,0.76,0.24
1116,"Animal.5235",18,"Tell Beydar",5,"EBA",10,"PH2",0.043,0,0.66,0.34
1117,"Animal.5236",18,"Tell Beydar",5,"EBA",10,"PH2",0.009,0,0.77,0.23
1118,"Animal.5237",18,"Tell Beydar",5,"EBA",10,"PH2",0.086,0,0.5,0.5
1119,"Animal.5238",18,"Tell Beydar",5,"EBA",10,"PH2",0.145,0,0.31,0.69
1120,"Animal.5239",18,"Tell Beydar",5,"EBA",10,"PH2",0.068,0,0.57,0.43
1121,"Animal.524",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.048,0.19,0.5,0.3
1122,"Animal.5240",18,"Tell Beydar",5,"EBA",10,"PH2",0.102,0,0.44,0.56
1123,"Animal.5241",18,"Tell Beydar",5,"EBA",10,"PH2",0.08,0,0.52,0.48
1124,"Animal.5242",18,"Tell Beydar",5,"EBA",10,"PH2",0.035,0,0.69,0.31
1125,"Animal.5243",18,"Tell Beydar",5,"EBA",10,"PH2",0.117,0,0.38,0.62
1126,"Animal.5244",18,"Tell Beydar",5,"EBA",10,"PH2",0.117,0,0.39,0.61
1127,"Animal.5245",18,"Tell Beydar",5,"EBA",10,"PH2",0.147,0,0.3,0.7
1128,"Animal.5246",18,"Tell Beydar",5,"EBA",10,"PH2",0.085,0,0.5,0.5
1129,"Animal.5247",18,"Tell Beydar",5,"EBA",10,"PH2",0.162,0,0.27,0.73
1130,"Animal.5248",18,"Tell Beydar",5,"EBA",10,"PH2",0.156,0,0.28,0.72
1131,"Animal.5249",18,"Tell Beydar",5,"EBA",10,"PH2",0.179,0,0.24,0.76
1132,"Animal.525",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.086,0.13,0.4,0.47
1133,"Animal.5250",18,"Tell Beydar",5,"EBA",9,"PH1",0.02,0,0.71,0.29
1134,"Animal.5251",18,"Tell Beydar",5,"EBA",9,"PH1",0.048,0,0.61,0.39
1135,"Animal.5252",18,"Tell Beydar",5,"EBA",9,"PH1",0.047,0,0.61,0.39
1136,"Animal.5253",18,"Tell Beydar",5,"EBA",9,"PH1",0.082,0,0.47,0.53
1137,"Animal.5254",18,"Tell Beydar",5,"EBA",9,"PH1",0.11,0,0.35,0.65
1138,"Animal.5255",18,"Tell Beydar",5,"EBA",9,"PH1",0.079,0,0.48,0.52
1139,"Animal.5256",18,"Tell Beydar",5,"EBA",9,"PH1",0.096,0,0.41,0.59
1140,"Animal.5257",18,"Tell Beydar",5,"EBA",9,"PH1",0.092,0,0.43,0.57
1141,"Animal.5258",18,"Tell Beydar",5,"EBA",9,"PH1",0.074,0,0.5,0.5
1142,"Animal.5259",19,"Tell Beydar",3,"LC 1-3",9,"PH1",0.056,0,0.75,0.25
1143,"Animal.526",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.128,0.07,0.27,0.66
1144,"Animal.5260",19,"Tell Beydar",3,"LC 1-3",9,"PH1",0.094,0,0.63,0.37
1145,"Animal.5261",19,"Tell Beydar",3,"LC 1-3",9,"PH1",0.113,0,0.56,0.44
1146,"Animal.5262",19,"Tell Beydar",3,"LC 1-3",9,"PH1",0.157,0,0.38,0.62
1147,"Animal.5263",18,"Tell Beydar",5,"EBA",9,"PH1",0.033,0,0.66,0.34
1148,"Animal.5264",18,"Tell Beydar",5,"EBA",9,"PH1",-0.018,0,0.8,0.2
1149,"Animal.5265",18,"Tell Beydar",5,"EBA",9,"PH1",0.041,0,0.63,0.37
1150,"Animal.5266",18,"Tell Beydar",5,"EBA",9,"PH1",-0.013,0,0.79,0.21
1151,"Animal.5267",18,"Tell Beydar",5,"EBA",9,"PH1",0.044,0,0.62,0.38
1152,"Animal.5268",18,"Tell Beydar",5,"EBA",9,"PH1",0.127,0,0.29,0.71
1153,"Animal.5269",18,"Tell Beydar",5,"EBA",9,"PH1",0.16,0,0.2,0.8
